empId,EmpName,EmpJoiningDate,DeptId,Contact,Salary,MaritalStatus
2001,Imran,15/07/2012,1,03331222567,78000,Married
2002,Saleem,15/07/2012,1,03331233567,160000,Married
2003,Aziz,15/10/2011,1,03331234557,74000,Married
2004,Jim Morrison,15/08/2012,5,03331244567,78000,Married
2005,Junaid,15/07/2013,3,03331234568,79000,Married
2006,Jamshed,15/01/2013,4,03001234568,45000,Single
2007,Asim,01/01/2011,1,03211234568,690000,Single
2008,Javeria,02/07/2010,2,03003001234,145000,Single
2009,Ahsan Malik,10/03/2014,6,03111222333,65000,Married
2010,Sara Khan,22/09/2015,2,03339876543,72000,Single
2011,Usman Tariq,11/11/2016,3,03441222344,81000,Married
2012,Maryam Noor,05/05/2017,1,03009876541,760000,Single
