RegistrationNumber,FirstName,LastName,Program,CGPA,ContactNumber
L1f11BSCS0001,Sadia,Khan,BSCS,3.27,03321234123
L1f11BSCS0021,Shanya,Khan,BSCS,3.77,03321234213
L1f11BSCS0031,Goree,Khan,BSCS,3.57,03321234143
L1f11BSCS0041,Jemayma,Khan,BSCS,3.85,03321234223
L1f11BSCS0022,Samandar,Khan,BSCS,3.97,03321234542
L1f11BSCS0025,Reham,Khan,BSCS,2.47,03321234213
L1f11BSCS0035,Areeba,Malik,BSCS,3.45,03329876543
L1f11BSCS0045,Hassan,Ali,BSCS,3.50,03001234567
L1f11BSCS0050,Usman,Ahmed,BSCS,2.98,03111234567
L1f11BSCS0055,Maria,Sheikh,BSCS,3.67,03211234567
L1f11BSCS0060,Bilal,Raza,BSCS,3.21,03331234567
L1f11BSCS0065,Ayesha,Noor,BSCS,3.88,03451234567
L1f11BSCS0199,Sharjeel,Ahmad,BSCS,3.20,03000000000

